creature_birds

[OBJECT:CREATURE]

[CREATURE:BIRD_BLUEJAY]
	[NAME:blue jay:blue jays:blue jay]
	[TILE:249][COLOR:1:0:1]
	[VERMIN_GROUNDER][FREQUENCY:100]
	[FLIER]
	[SMALL_REMAINS]
	[SPEED:400]
	[PETVALUE:30][NATURAL][PET]
	[NOT_BUTCHERABLE]
	[PREFSTRING:coloration]
	[DIURNAL]
	[BIOME_GRASSLAND_TEMPERATE]
	[BIOME_SAVANNA_TEMPERATE]
	[BIOME_SHRUBLAND_TEMPERATE]
	[BIOME_FOREST_TEMPERATE_BROADLEAF]
	[BIOME_FOREST_TEMPERATE_CONIFER]

[CREATURE:BIRD_CARDINAL][ADD_VERSION:1069]
	[NAME:cardinal:cardinals:cardinal]
	[TILE:249][COLOR:4:0:1]
	[VERMIN_GROUNDER][FREQUENCY:100]
	[FLIER]
	[SMALL_REMAINS]
	[SPEED:400]
	[PETVALUE:30][NATURAL][PET]
	[NOT_BUTCHERABLE]
	[PREFSTRING:coloration]
	[DIURNAL]
	[BIOME_GRASSLAND_TEMPERATE]
	[BIOME_SAVANNA_TEMPERATE]
	[BIOME_SHRUBLAND_TEMPERATE]
	[BIOME_FOREST_TEMPERATE_BROADLEAF]
	[BIOME_FOREST_TEMPERATE_CONIFER]

[CREATURE:BIRD_GRACKLE][ADD_VERSION:1069]
	[NAME:grackle:grackles:grackle]
	[TILE:249][COLOR:0:0:1]
	[VERMIN_GROUNDER][FREQUENCY:100]
	[FLIER]
	[SMALL_REMAINS]
	[SPEED:400]
	[PETVALUE:30][NATURAL][PET]
	[NOT_BUTCHERABLE]
	[PREFSTRING:raucous calls]
	[DIURNAL]
	[BIOME_GRASSLAND_TEMPERATE]
	[BIOME_SAVANNA_TEMPERATE]

[CREATURE:BIRD_ORIOLE][ADD_VERSION:1069]
	[NAME:oriole:orioles:oriole]
	[TILE:249][COLOR:6:0:1]
	[VERMIN_GROUNDER][FREQUENCY:100]
	[FLIER]
	[SMALL_REMAINS]
	[SPEED:400]
	[PETVALUE:30][NATURAL][PET]
	[NOT_BUTCHERABLE]
	[PREFSTRING:coloration]
	[DIURNAL]
	[BIOME_FOREST_TEMPERATE_BROADLEAF]

[CREATURE:BIRD_RW_BLACKBIRD][ADD_VERSION:1069]
	[NAME:red-winged blackbird:red-winged blackbirds:red-winged blackbird]
	[TILE:249][COLOR:0:0:1]
	[VERMIN_GROUNDER][FREQUENCY:100]
	[FLIER]
	[SMALL_REMAINS]
	[SPEED:400]
	[PETVALUE:30][NATURAL][PET]
	[NOT_BUTCHERABLE]
	[PREFSTRING:coloration]
	[DIURNAL]
	[BIOME_MARSH_TEMPERATE_FRESHWATER]
	[BIOME_MARSH_TEMPERATE_SALTWATER]
